ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"177.125.165.170","elite","AS262346","BR","FP Telecomunicacoes Ltda","290","FP Telecomunicacoes Ltda","4145","socks4","4990","1","2023-07-30T17:35:25.950Z","70","2203","3146"
"203.114.65.85","elite","AS7611","PH","W Network Inc.","199","W NETWORK Inc","1337","socks4","4897","1","2023-07-30T17:35:26.033Z","99","3052","3094"
"103.229.85.209","elite","AS133443","BD","Ashfakur Rahman Chowdhury","188","N/A","4145","socks4","3599","82","2023-07-30T17:35:22.740Z","99","3101","3140"
"89.237.35.129","elite","AS20485","RU","multi-origin SUTTK","82","N/A","51549","socks4","4294","1","2023-07-30T17:35:22.651Z","99","3047","3065"
"154.113.160.1","elite","AS37282","NG","Mainone Cable Company","186","Mainone Cable Company","5678","socks4","4498","1","2023-07-30T17:35:22.739Z","100","3046","3057"
"181.188.188.131","elite","AS27882","BO","Telefónica Celular de Bolivia S.A.","290","Telefónica Celular de Bolivia S.A","5678","socks4","5001","1","2023-07-30T17:35:22.743Z","97","3051","3156"
"124.120.106.86","elite","AS17552","TH","TRUEBB","183","N/A","5678","socks4","4804","1","2023-07-30T17:35:19.435Z","76","2348","3091"
"189.201.189.2","elite","AS28438","MX","ATC HOLDING FIBRA MEXICO, S. DE R.L. DE C.V.","187","ATC HOLDING FIBRA MEXICO, S. DE R.L. DE C.V","4145","socks4","3609","1","2023-07-30T17:35:19.350Z","99","3047","3079"
"188.92.242.106","elite","AS25227","RU","JSC Avantel","100","Avantel, Close Joint Stock Company","8088","socks5","5004","1","2023-07-30T17:35:19.533Z","99","3122","3164"
"50.47.75.221","elite","AS20055","US","Wholesail networks LLC","197","Ziply Fiber","5678","socks4","4900","1","2023-07-30T17:35:19.347Z","97","3056","3143"
"38.242.46.234","elite","AS174","US","Cogent Communications","93","Code 200, UAB","3128","socks5","4498","1","2023-07-30T17:35:19.343Z","97","2999","3103"
"143.255.249.74","elite","AS61468","EC","CEDIA","192","Universidad Tecnologica Israel","7497","socks5","3907","1","2023-07-30T17:35:19.344Z","96","2970","3096"
"168.119.209.189","elite","AS24940","DE","Hetzner Online GmbH","84","Hetzner","60006","socks5","3692","1","2023-07-30T17:35:19.450Z","100","3113","3113"
"165.22.52.130","elite","AS14061","SG","DigitalOcean, LLC","194","DigitalOcean, LLC","8000","socks4","5104","1","2023-07-30T17:35:19.436Z","81","2511","3109"
"152.32.78.24","elite","AS17639","PH","ComClark Network & Technology Corp","198","Convergeict","4145","socks4","2899","1","2023-07-30T17:35:19.436Z","99","3141","3160"
"151.80.33.46","elite","AS16276","FR","OVH SAS","6","OVH SAS","7497","socks5","4800","1","2023-07-30T17:35:19.535Z","100","3056","3056"
"125.229.3.41","elite","AS3462","TW","Chunghwa Telecom Co., Ltd.","290","Chunghwa Telecom Co. Ltd.","80","socks5","5091","1","2023-07-30T17:35:19.345Z","98","2952","3022"
"142.166.131.50","elite","AS855","CA","Bell Canada","178","Bell Canada","5678","socks4","4884","1","2023-07-30T17:35:19.341Z","68","2058","3011"
"103.136.127.140","elite","AS48024","SG","Nerocloud LTD","182","Internet Keeper Global (Singapore) Pte Ltd","40000","socks5","4896","1","2023-07-30T17:35:15.042Z","77","2407","3136"
"103.47.93.210","elite","AS134058","IN","Broban Internet Services Pvt.ltd","197","Broban  PVT Ltd.","1080","socks4","5086","1","2023-07-30T17:35:15.044Z","99","3113","3139"
